Weights,Prices,Capacity,Best picks,Best price
[26 45 32 19 44],[ 2 10  9 15  7],35,[0. 0. 0. 1. 0.],15.0
[28  7 36 43 24],[19 13  3  1 15],46,[1. 1. 0. 0. 0.],32.0
[36 32 28 16 46],[ 3  7  3  6 14],95,[0. 1. 0. 1. 1.],27.0
[45 30 13 23 33],[ 5  9 18 11  4],94,[0. 1. 1. 1. 0.],38.0
[ 6 37 11 20  9],[ 3 13 11 12  3],39,[1. 0. 1. 1. 0.],26.0
[17  1 28 25  9],[ 9 13  3 13 11],72,[1. 1. 0. 1. 1.],46.0
[26  1 17 31 15],[12 11 13 11  2],66,[1. 1. 1. 0. 1.],38.0
[29  6 16 39  7],[ 8  7 10 14 12],25,[0. 0. 1. 0. 1.],22.0
[23 45 41 20 38],[13 19  2 10 19],57,[1. 0. 0. 1. 0.],23.0
[45 49 18 20 30],[15 19  5  1  6],88,[0. 1. 1. 1. 0.],25.0
[33 34  1 30 14],[11 19 17  1 18],22,[0. 0. 1. 0. 1.],35.0
[25 38 43 13  2],[19 10 16 11  1],84,[1. 0. 1. 1. 1.],47.0
[ 1 23 14 39 38],[ 1 13  7  7 14],62,[1. 1. 0. 0. 1.],28.0
[ 4 32 39 47 15],[14  4 14 13  8],44,[1. 0. 1. 0. 0.],28.0
[29  6  4 20 22],[17 13 17 12 10],79,[1. 1. 1. 1. 0.],59.0
[31 47 42 43  1],[ 1  6 11  3 17],70,[0. 0. 1. 0. 1.],28.0
[ 7 22  7 29 38],[9 1 3 8 8],81,[1. 0. 1. 1. 1.],28.0
[36 26 23 30  1],[ 7 11  6 15 14],15,[0. 0. 0. 0. 1.],14.0
[11 47 40 25 36],[19 12 12  5 19],78,[1. 0. 0. 1. 1.],43.0
[21 43 43 38 20],[ 4  6 11 13 10],22,[0. 0. 0. 0. 1.],10.0
[20 37 11 15 24],[ 3 18 13  4 15],49,[0. 1. 1. 0. 0.],31.0
[36 15 32  8  9],[ 7 16  9 13 14],64,[0. 1. 1. 1. 1.],52.0
[ 3 13 22 38 37],[14  2 16 16  8],66,[1. 0. 1. 1. 0.],46.0
[12 17 17  9 16],[19  5 10  7  9],99,[1. 1. 1. 1. 1.],50.0
[21 26 22 13 30],[14  7 10 13 16],55,[1. 0. 0. 0. 1.],30.0
[22 19 45 49 36],[12  5 13 14  2],49,[1. 1. 0. 0. 0.],17.0
[24  7  8 39 30],[10  1 12 10 14],58,[0. 1. 1. 0. 1.],27.0
[ 7 21 31 42 43],[14  3 19  8 13],69,[1. 1. 1. 0. 0.],36.0
[49 16 23 45 22],[ 8  4 16  8  2],57,[0. 1. 1. 0. 0.],20.0
[48 45 24 14 25],[10 12 10  8 12],57,[0. 0. 1. 0. 1.],22.0
[34  5  6  1 46],[17  1  9 12  2],24,[0. 1. 1. 1. 0.],22.0
[46 12 47 43  6],[13 10 12  7 12],73,[1. 1. 0. 0. 1.],35.0
[ 8 47 16 43 10],[11 18 15  8 11],20,[1. 0. 0. 0. 1.],22.0
[47 28 48  9 38],[17  7  6 16 17],50,[0. 0. 0. 1. 1.],33.0
[40 40 20  4 22],[ 3 13 11 10 14],70,[0. 1. 0. 1. 1.],37.0
[26  6  3 49  1],[10  8 11  1 12],22,[0. 1. 1. 0. 1.],31.0
[35 18 23 14 33],[18  3  6  8  9],30,[0. 0. 0. 1. 0.],8.0
[ 5 45 38 18 31],[12  1  4 14  1],19,[0. 0. 0. 1. 0.],14.0
[ 3 15 29 13 36],[ 7  7 12 19 18],21,[1. 0. 0. 1. 0.],26.0
[26  3 47 16 43],[18 14 18 19 12],53,[1. 1. 0. 1. 0.],51.0
[20 39 21 16  7],[ 6  7 12  5 14],27,[1. 0. 0. 0. 1.],20.0
[ 1 12 25  7 16],[19 14 10  1  7],25,[1. 1. 0. 1. 0.],34.0
[ 5 32 43  9 45],[11  9 15  6 11],70,[1. 0. 1. 1. 0.],32.0
[25 28 22 38 14],[16  7 14  1 14],57,[1. 0. 1. 0. 0.],30.0
[25  8 36 19 42],[ 2  1 17  8  4],42,[0. 0. 1. 0. 0.],17.0
[13 29 38 33 46],[ 1 18  8  3  3],19,[1. 0. 0. 0. 0.],1.0
[35 10 28 49 47],[13 13 14 15 17],82,[1. 1. 1. 0. 0.],40.0
[39 12  9  2 49],[ 6 17 15  9  1],35,[0. 1. 1. 1. 0.],41.0
[18 23 39 12 11],[ 1 12  6 12 18],75,[1. 1. 0. 1. 1.],43.0
[39 46 32 26 26],[14 11 18  9  2],93,[1. 0. 1. 0. 0.],32.0
[41 41 28 29 42],[ 9 10  8 11  4],86,[0. 1. 0. 1. 0.],21.0
[49  9  3  7 13],[13 15 13  6 15],28,[0. 1. 1. 0. 1.],43.0
[ 5  1 13  3 37],[ 3  6  7 14 15],51,[1. 1. 0. 1. 1.],38.0
[11 27 31 48 10],[15 16  8 12 11],43,[1. 1. 0. 0. 0.],31.0
[36 14 26  8 10],[14 15  7 17 18],99,[1. 1. 1. 1. 1.],71.0
[18 34 32 46  6],[14 15  9  9  6],31,[1. 0. 0. 0. 1.],20.0
[16 10 49 34  3],[18  5  4 17 11],58,[1. 0. 0. 1. 1.],46.0
[38 11 11 47 16],[ 6 14 18 10 14],36,[0. 1. 1. 0. 0.],32.0
[27 28  5 49 11],[ 9  6 14  9  3],62,[1. 1. 1. 0. 0.],29.0
[19 23  7 41 26],[ 3 13 14 17  5],54,[0. 0. 1. 1. 0.],31.0
[44 42 28 30 44],[11 15  5  6  3],99,[1. 1. 0. 0. 0.],26.0
[48 24  1 33 29],[ 6  9  4 18 16],77,[0. 0. 1. 1. 1.],38.0
[18 45  9  9 36],[ 4 16 16  1 18],64,[1. 0. 1. 0. 1.],38.0
[22  2 17  8 11],[12 14 18 11  6],92,[1. 1. 1. 1. 1.],61.0
[39 17 16 23 11],[ 2 18 18 17  5],53,[0. 1. 1. 0. 1.],41.0
[12 48  2 20 41],[16  4 11  9  8],95,[1. 0. 1. 1. 1.],44.0
[20  8 10 46 48],[10  1  6 18  6],90,[1. 1. 1. 1. 0.],35.0
[ 9 30  3  2 28],[ 7  2 10 13  7],70,[1. 0. 1. 1. 1.],37.0
[40 35 47 41 18],[12 14 17 19  4],16,,0.0
[46  9 11 47 17],[ 4  2  9  5 18],19,[0. 0. 0. 0. 1.],18.0
[13 27  6  5 15],[17 15  7 15  7],27,[1. 0. 1. 1. 0.],39.0
[12 32 35 40  6],[10  9 15  9  5],85,[1. 1. 1. 0. 1.],39.0
[13 36 28  3 41],[ 4 10  6 19 18],75,[0. 0. 1. 1. 1.],43.0
[16 30 17 41 11],[ 8  4  2 10  2],78,[1. 0. 1. 1. 0.],20.0
[ 4  8 33  4 34],[ 7  7  7  2 12],57,[1. 1. 0. 1. 1.],28.0
[14 44 26 13 46],[16  9  6  7  7],59,[1. 0. 1. 1. 0.],29.0
[26 12  3 22  2],[ 5  6  1 16  7],68,[1. 1. 1. 1. 1.],35.0
[28 28 42  4 40],[ 2  1 12 13  5],93,[0. 0. 1. 1. 1.],30.0
[22 15  1 34 45],[ 2 13 18  3  3],44,[1. 1. 1. 0. 0.],33.0
[21 36  5  9 38],[ 5 18 12 16  8],34,[0. 0. 1. 1. 0.],28.0
[14 35  9 18 28],[15 15 18 10  4],69,[1. 1. 1. 0. 0.],48.0
[15 48  5  7 47],[ 8  8  6 16 13],33,[1. 0. 1. 1. 0.],30.0
[30 19 46 33 43],[ 3 15  7 12 17],89,[0. 1. 0. 0. 1.],32.0
[17  3  9 48 20],[11  4  6 14 17],78,[1. 1. 1. 0. 1.],38.0
[25 36 32 24 49],[19  9 13 18  8],16,,0.0
[41 10 38 38  4],[16  5 14  9 15],83,[1. 0. 1. 0. 1.],45.0
[32 47  7 12 13],[12  8  2  3 14],57,[1. 0. 0. 1. 1.],29.0
[47  2 19 39  4],[ 9  1  8  5 15],76,[1. 1. 1. 0. 1.],33.0
[40 36 31 41 12],[ 9 16  7  6 19],87,[0. 1. 1. 0. 1.],42.0
[45 44 34 28  7],[ 2 16 13  5 18],23,[0. 0. 0. 0. 1.],18.0
[14  5 34 23 36],[ 1  7  5  3 15],82,[0. 1. 1. 0. 1.],27.0
[19 31  7 10 42],[14 18 11 18 14],80,[1. 1. 1. 1. 0.],61.0
[ 7 48 10 27  6],[18 18  9  7  2],24,[1. 0. 1. 0. 1.],29.0
[15 42 26 33 36],[16 18  7 10 11],78,[1. 1. 0. 0. 0.],34.0
[30 39 49 36 12],[18 17 14 15  2],48,[1. 0. 0. 0. 1.],20.0
[39 29 10 41  8],[ 9 18  1 16 11],44,[0. 1. 0. 0. 1.],29.0
[36 19 16 28 32],[15  7 13  7 10],51,[0. 0. 1. 0. 1.],23.0
[40  2 22  2 42],[9 2 2 7 8],59,[1. 1. 0. 1. 0.],18.0
[35 35  8 42 13],[7 5 3 3 4],83,[1. 1. 0. 0. 1.],16.0
[24 47 45 47 49],[19 13  9 16  9],89,[1. 0. 0. 1. 0.],35.0
[18 16 15 20 19],[ 1 16  8  9  3],52,[0. 1. 1. 1. 0.],33.0
[10 12 40 14 34],[11  1  6  5  5],49,[1. 1. 0. 1. 0.],17.0
[14 45 15  5 38],[ 4 13 17 17 10],63,[0. 0. 1. 1. 1.],44.0
[23 40  7  9 16],[ 6  1 18  8 14],52,[0. 0. 1. 1. 1.],40.0
[ 3 46 44 12 24],[14 19  6  5  8],36,[1. 0. 0. 0. 1.],22.0
[36 10 21 43  7],[ 4 12  1  7 18],89,[0. 1. 1. 1. 1.],38.0
[25  3  2 11 35],[ 7 18 13 19 17],78,[1. 1. 1. 1. 1.],74.0
[13 36 12 49 40],[16 17 18 10 16],67,[1. 1. 1. 0. 0.],51.0
[ 2 39 15 30 29],[ 2  3  3 17 14],64,[1. 0. 0. 1. 1.],33.0
[46  9 35 31 38],[17 15 14  8  8],73,[1. 1. 0. 0. 0.],32.0
[31 21 43 41  9],[ 2  1  3 13  4],40,[1. 0. 0. 0. 1.],6.0
[26  1 47  3 41],[16  1  8  5  6],51,[1. 1. 0. 1. 0.],22.0
[23 49 47 25  3],[11  6 10  2  7],70,[1. 0. 1. 0. 0.],21.0
[ 5 48 34 38 13],[10  7  2 15  6],28,[1. 0. 0. 0. 1.],16.0
[19 39 25 26 21],[ 9 19  3 10  9],71,[0. 1. 0. 1. 0.],29.0
[47  3  4 32 36],[19  4 11 14 16],63,[1. 1. 1. 0. 0.],34.0
[33  2 21 21 27],[ 6  2 11  9 10],54,[0. 1. 1. 0. 1.],23.0
[27 31 17 13 38],[11  6  2  8 13],51,[0. 0. 0. 1. 1.],21.0
[ 4 32 11 48 10],[ 7 18  7  1  8],38,[1. 1. 0. 0. 0.],25.0
[18  9 11 27 35],[ 1  8  7 16 14],47,[0. 1. 1. 1. 0.],31.0
[22 37 47 11 26],[14 10 11 12  9],56,[1. 0. 0. 1. 0.],26.0
[ 3 47 18 31 31],[ 2  3 13  1  1],17,[1. 0. 0. 0. 0.],2.0
[12 22 46  4  4],[18  5  8  4  9],28,[1. 0. 0. 1. 1.],31.0
[35 35 44  4 28],[ 6 13  5 15  6],99,[1. 1. 0. 1. 0.],34.0
[48 39 15  4  9],[13 17 16 19  8],66,[0. 1. 1. 1. 0.],52.0
[ 4 34 24 23 47],[ 1  6 16 11  1],28,[1. 0. 1. 0. 0.],17.0
[28 36 36 21 33],[ 7  2 13  8 17],46,[0. 0. 0. 0. 1.],17.0
[42 45 15 14 17],[3 1 5 1 4],52,[0. 0. 1. 1. 1.],10.0
[35 34 43  7 37],[ 8 10 11 11 11],82,[0. 1. 0. 1. 1.],32.0
[12 44 36 15 39],[ 2 19 17  8 17],57,[0. 0. 1. 1. 0.],25.0
[11 25 38 14  9],[ 7 14 13 12  5],78,[0. 1. 1. 1. 0.],39.0
[ 4  1 38 41 15],[13 14 16 19  7],42,[1. 1. 0. 0. 1.],34.0
[23 28 19 36 37],[17  5 10  1 19],21,[0. 0. 1. 0. 0.],10.0
[28  2 35 16 31],[14 19  2  6 12],56,[1. 1. 0. 1. 0.],39.0
[32 24 13  3 36],[10 11 12  8 18],73,[1. 1. 1. 1. 0.],41.0
[28  3  1 33 19],[ 6  3 14  8  3],40,[0. 1. 1. 1. 0.],25.0
[13  1  5  6 29],[10 12  6  4 14],27,[1. 1. 1. 1. 0.],32.0
[18 25 20 19 39],[14  8  2  2 12],72,[1. 0. 0. 0. 1.],26.0
[12 46 35 33 18],[15 10  8 15 16],60,[1. 0. 0. 0. 1.],31.0
[12 10 13 37 49],[14  3  9  3  9],67,[1. 1. 1. 0. 0.],26.0
[40  3 30  2 43],[12 16 14  2 10],53,[0. 1. 1. 1. 0.],32.0
[49 38 15 29 40],[ 6 17 10 15  8],45,[0. 0. 1. 1. 0.],25.0
[ 1 12 15  8 18],[ 4 10  2 19 11],50,[1. 1. 0. 1. 1.],44.0
[19 26 10 34 36],[18  6  8 16  5],74,[1. 0. 1. 1. 0.],42.0
[36 14 33 17  7],[11 18  3  1 15],57,[1. 1. 0. 0. 1.],44.0
[26 33 36 45 42],[18 15 18 19  6],94,[1. 0. 0. 1. 0.],37.0
[30 38  8  6 16],[12 14  4  3 14],49,[1. 0. 0. 0. 1.],26.0
[14 33 11 17 39],[16 11  7 14 13],23,[1. 0. 0. 0. 0.],16.0
[18 46 29 30  5],[11  8  4  6  5],40,[1. 0. 0. 0. 1.],16.0
[31 49 16  8  9],[ 9 15 16  7 18],90,[0. 1. 1. 1. 1.],56.0
[41 46 39 42 41],[14  5 10 17 18],96,[0. 0. 0. 1. 1.],35.0
[32 21 24 19 34],[10 16 12  7  8],23,[0. 1. 0. 0. 0.],16.0
[25 14 13 12 20],[ 3 14  4 10  2],52,[0. 1. 1. 1. 0.],28.0
[23 18 15 38 45],[11  1 17  1 17],26,[0. 0. 1. 0. 0.],17.0
[24 11 41 18 39],[11 15 18 18 11],35,[0. 1. 0. 1. 0.],33.0
[19 32 19 34 13],[17 14  1  8  3],66,[1. 1. 0. 0. 1.],34.0
[46 24  7 31  3],[16  5  9  3 18],29,[0. 0. 1. 0. 1.],27.0
[13 43 36 46 46],[ 6 13  1 19 15],57,[1. 1. 0. 0. 0.],19.0
[37  5 17 14 27],[19  2 17  4 11],52,[0. 1. 1. 0. 1.],30.0
[12 37 45 48  7],[ 8 18 12 19 10],67,[1. 0. 0. 1. 1.],37.0
[24 22 33 15 26],[16 12  9 15 12],28,[1. 0. 0. 0. 0.],16.0
[41 34 12 15 44],[14 14 10  4  6],69,[1. 0. 1. 1. 0.],28.0
[41 10  4 30  5],[14  7 16  2  9],28,[0. 1. 1. 0. 1.],32.0
[ 2 22 17 10 29],[15 15 10 14 11],19,[1. 0. 0. 1. 0.],29.0
[32  9 37 30 14],[ 1 10  8 13 13],32,[0. 1. 0. 0. 1.],23.0
[39  1  3  7 45],[15 19  2 11  4],95,[1. 1. 1. 1. 1.],51.0
[44 13 43 32 11],[12 17 15 14 12],73,[0. 1. 1. 0. 1.],44.0
[ 3 43 32 26  9],[ 2  1 14  7 17],58,[1. 0. 1. 0. 1.],33.0
[35 43 40 43 24],[11 17 19 12 19],79,[0. 0. 1. 0. 1.],38.0
[29 24 48 13 11],[11 11  2 17  7],85,[1. 1. 0. 1. 1.],46.0
[41 11 39 45 14],[18  2 19 18 19],19,[0. 0. 0. 0. 1.],19.0
[48  2  6 16  7],[14 18  9  2  6],98,[1. 1. 1. 1. 1.],49.0
[44 49 15 34  4],[19  8  8 12  8],52,[1. 0. 0. 0. 1.],27.0
[33 33  5 30  9],[ 5  8 15  1 11],35,[0. 0. 1. 0. 1.],26.0
[12 18 38  8 38],[ 6 18  3 17 18],67,[0. 1. 0. 1. 1.],53.0
[ 2 36 41 33 15],[ 9  6 12 16  2],73,[1. 1. 0. 1. 0.],31.0
[ 8 41 19 45  7],[ 5 16 14 17 14],73,[0. 0. 1. 1. 1.],45.0
[41  1 34 45  9],[ 8 15 16 17  6],50,[0. 1. 1. 0. 1.],37.0
[30  5  8 22 25],[ 6 12 19  2 15],73,[1. 1. 1. 0. 1.],52.0
[ 5 36 24 47 38],[14 10  5 12  8],66,[1. 1. 1. 0. 0.],29.0
[19  6 32 33 22],[12 12  2  6 17],76,[1. 1. 0. 0. 1.],41.0
[24 38 28  2  1],[11 17 18  3 13],15,[0. 0. 0. 1. 1.],16.0
[26  8  7 45 10],[13  9 11 17 17],63,[1. 1. 1. 0. 1.],50.0
[ 9  9 15 40 48],[ 7 12 15  6  3],37,[1. 1. 1. 0. 0.],34.0
[48 27 46 22 13],[19  3 13 18 11],62,[0. 1. 0. 1. 1.],32.0
[49 12 45  4 17],[ 5 14  7  6 17],89,[0. 1. 1. 1. 1.],44.0
[ 8 14 30 47 21],[6 3 9 4 3],91,[1. 1. 1. 0. 1.],21.0
[39 32 44 10 10],[ 8 13 14 14  6],39,[0. 0. 0. 1. 1.],20.0
[29 33 44 48  6],[11 10 13 16  8],99,[0. 0. 1. 1. 1.],37.0
[ 7 13 19 23 35],[ 7  7  7 16  3],35,[1. 0. 0. 1. 0.],23.0
[13 22 42 23 44],[10  1 11 10  7],42,[1. 0. 0. 1. 0.],20.0
[ 4  9 11 39 33],[10 17  7 11  6],66,[1. 1. 1. 1. 0.],45.0
[46 17 28 49 26],[5 3 5 8 4],65,[0. 0. 1. 0. 1.],9.0
[20 25 46 46  1],[18 10  9  3 14],27,[1. 0. 0. 0. 1.],32.0
[ 7 13 44  8 27],[ 9  6 19 17  8],51,[1. 0. 0. 1. 1.],34.0
[31 37 48 39 43],[15  1 10 15 18],62,[0. 0. 0. 0. 1.],18.0
[37  4 46 27  5],[ 5  5 17  6 15],38,[0. 1. 0. 1. 1.],26.0
[13 22 21 19 15],[ 9 16 18  2 19],59,[0. 1. 1. 0. 1.],53.0
[46 41 49 12 41],[ 9  5  4 10  9],70,[1. 0. 0. 1. 0.],19.0
[47 29 26 20 48],[ 5 17 18 16 12],70,[0. 1. 1. 0. 0.],35.0
[24 46  1 46  5],[ 7  3 12 15 14],77,[1. 0. 1. 1. 1.],48.0
[34 41 11 13 16],[ 9 15  1 13 13],57,[0. 1. 0. 1. 0.],28.0
[27 32 32 30 15],[ 5 11 11 16 16],42,[1. 0. 0. 0. 1.],21.0
[ 7 32 45 14  1],[16 17 12  2 13],74,[1. 1. 0. 1. 1.],48.0
[47 46 26 42  4],[14 14  6 12  2],53,[1. 0. 0. 0. 1.],16.0
[14 34  3 17 41],[12 16  3 11  9],27,[1. 0. 1. 0. 0.],15.0
[39 35 40 18 33],[17  4 14  1  9],72,[1. 0. 0. 0. 1.],26.0
[37 31 11 17 16],[ 6  8 12  6  8],81,[0. 1. 1. 1. 1.],34.0
[ 1 16  8 35  5],[16 13 19  6 15],28,[1. 0. 1. 0. 1.],50.0
[33 21 15 24 39],[15  7  7  4  6],59,[1. 1. 0. 0. 0.],22.0
[ 2 13 27 12  1],[17 12 16  8 18],42,[1. 0. 1. 1. 1.],59.0
[13  9 39 47 10],[ 2 13 13  1 12],92,[1. 1. 1. 0. 1.],40.0
[49 47 11 17 31],[14 15  8 16  4],27,[0. 0. 0. 1. 0.],16.0
[27 41  1 41 45],[ 2 11 12  3 17],52,[0. 0. 1. 0. 1.],29.0
[22 16 11  7 34],[ 4  8 19  5 16],58,[0. 0. 1. 1. 1.],40.0
[43 11 36 23 32],[ 9 14  9  2  4],22,[0. 1. 0. 0. 0.],14.0
[20 14 44 34 34],[18 14 18  2 15],27,[1. 0. 0. 0. 0.],18.0
[45 21 12 14  6],[ 6  1  8 18  8],28,[0. 0. 1. 1. 0.],26.0
[49 18 19 26 18],[ 6 11  6  9 18],17,,0.0
[38 24 25 22 35],[14  7 13 18  4],53,[0. 0. 1. 1. 0.],31.0
[18 17 14 20 11],[16 16  8 11 11],59,[1. 1. 0. 1. 0.],43.0
[45 42 18 33  8],[12  2 10 12  3],41,[0. 0. 0. 1. 1.],15.0
[28 33 23 21 37],[10  8  3  1  8],43,[1. 0. 0. 0. 0.],10.0
[39  5 37 12 27],[11  4 17 14 12],29,[0. 1. 0. 1. 0.],18.0
[33 48 26 41 13],[ 1 17 13 14  6],87,[0. 1. 1. 0. 1.],36.0
[14 11 10 21 34],[16 15  4 10 12],21,[0. 1. 1. 0. 0.],19.0
[47 43 41 29 48],[ 1  9  8 14 13],24,,0.0
[ 5 10 41 12 38],[17 15 17 19 13],75,[1. 1. 1. 1. 0.],68.0
[ 9 28 48 26 29],[ 5 11  4 10 10],96,[1. 1. 0. 1. 1.],36.0
[36 13  7  7 33],[ 3 17 19 14  9],93,[0. 1. 1. 1. 1.],59.0
[23 34 36  3  6],[ 9 19 19 19  6],83,[0. 1. 1. 1. 1.],63.0
[37  9 33 48 37],[ 5  1  4 17 17],42,[0. 0. 0. 0. 1.],17.0
[ 5 44  8 13 20],[ 1 15  6 17  2],19,[1. 0. 0. 1. 0.],18.0
[12  7 37 36 14],[15  8  7 10 12],97,[1. 1. 0. 1. 1.],45.0
[24 14 24  6 12],[ 2 18 12  3 19],47,[0. 1. 0. 1. 1.],40.0
[25 14 24 31 44],[10 14 15 19 15],37,[0. 0. 0. 1. 0.],19.0
[ 1 34 40 43 31],[10  3 16  7  9],24,[1. 0. 0. 0. 0.],10.0
[44 21 25 47 12],[17 13 11  5  3],21,[0. 1. 0. 0. 0.],13.0
[22 34 23 19 44],[ 9 12  7  4  4],17,,0.0
[ 7 34 35 30 20],[ 6 15 18 14 15],56,[0. 0. 1. 0. 1.],33.0
[41 38 41 16 42],[13 13 10 12 11],24,[0. 0. 0. 1. 0.],12.0
[24 18 12  8 47],[ 5 10  5 16  8],96,[0. 1. 1. 1. 1.],39.0
[30  2  8 32 45],[ 2 17  2  6  5],97,[0. 1. 1. 1. 1.],30.0
[ 7 46 39 46  5],[14 16 10  5 19],78,[1. 1. 0. 0. 1.],49.0
[ 8  6 15 36 46],[ 3  2  9 13  8],61,[1. 0. 1. 1. 0.],25.0
[33 46 25 24 37],[ 5 16  3  3  2],64,[0. 1. 0. 0. 0.],16.0
[42  8 38 47  2],[ 7  3  7 10  3],53,[1. 1. 0. 0. 1.],13.0
[ 6 13  3 22  2],[19 12 14 19  8],66,[1. 1. 1. 1. 1.],72.0
[ 3 11 31 49  5],[17  4 14 10  3],36,[1. 0. 1. 0. 0.],31.0
[27 13 34 11 19],[15  8  7  4 14],82,[1. 1. 0. 1. 1.],41.0
[40 29 12 19 34],[ 3  7 12  1 15],37,[0. 0. 0. 0. 1.],15.0
[12  5 49 44 23],[ 8  4 12 11 12],91,[1. 1. 1. 0. 1.],36.0
[ 5  5 25 43 36],[ 4 12 19  3  8],92,[1. 1. 1. 0. 1.],43.0
[13 10 40  9 37],[ 3  5  1 18 18],76,[1. 1. 0. 1. 1.],44.0
[35 42 25 22 36],[14 16 12 13  1],70,[0. 1. 0. 1. 0.],29.0
[25 38 29 23 44],[19  2 11  5 17],34,[1. 0. 0. 0. 0.],19.0
[38  7 17 10  1],[ 7  2  8  7 17],21,[0. 1. 0. 1. 1.],26.0
[36 11 12 28 12],[ 4  6  9 18  2],35,[0. 0. 0. 1. 0.],18.0
[16 47 21 27 35],[ 3  4  6 16 16],35,[0. 0. 0. 1. 0.],16.0
[33 41 31 37 44],[18 13 11  1 16],48,[1. 0. 0. 0. 0.],18.0
[ 3 18 39 19 23],[ 1 17 10  4 12],52,[1. 1. 0. 0. 1.],30.0
[ 3 39 30 33  5],[ 3  8  3  6 18],69,[1. 1. 0. 0. 1.],29.0
[15 17 30 28 11],[ 6 11  6 19 16],90,[1. 1. 0. 1. 1.],52.0
[ 3 16  9  6 33],[ 3 16 12 17  2],95,[1. 1. 1. 1. 1.],50.0
[29 41 27  9 37],[12 11 17 16 16],46,[0. 0. 1. 1. 0.],33.0
[14  2  4 28 35],[11 11 19 13 16],44,[0. 1. 1. 0. 1.],46.0
[ 2 35 31 40 48],[ 8 19  5  8 18],88,[1. 1. 0. 0. 1.],45.0
[37 24 18 12 36],[ 6 17 13  6 17],21,[0. 0. 1. 0. 0.],13.0
[ 9 36 20 18 23],[16  7  3 11 16],87,[1. 1. 0. 1. 1.],50.0
[ 1 26 47 47 23],[ 8 18  4 15  6],78,[1. 1. 0. 1. 0.],41.0
[13 47 39 28 29],[ 6 14  4 10 14],85,[1. 0. 0. 1. 1.],30.0
[43 13  2 48 20],[ 4 12  5 18 18],61,[0. 1. 1. 0. 1.],35.0
[49 32 26 11 19],[12 12  8  2  6],51,[0. 1. 0. 0. 1.],18.0
[21 29 28 18 30],[ 7 18 11 15 14],88,[0. 1. 0. 1. 1.],47.0
[ 9 37  7 12 32],[ 1  6  9 12  9],95,[0. 1. 1. 1. 1.],36.0
[ 7 21 21  4 38],[16 12 19  7  8],86,[1. 1. 1. 1. 0.],54.0
[ 9 29  6 19 41],[13  2  5 12 16],61,[1. 0. 1. 0. 1.],34.0
[33 45  7 30 38],[10  7 12  2 10],94,[1. 0. 1. 0. 1.],32.0
[25 17 42 45  4],[ 7  7  4 12  8],92,[1. 1. 0. 1. 1.],34.0
[40 10 12 17 35],[ 3 17 14 11 10],52,[0. 1. 1. 1. 0.],42.0
[40 39 20 20 20],[15  6  4 12 14],95,[1. 0. 0. 1. 1.],41.0
[ 4 43  7 11  6],[ 3 12 11 18 17],50,[1. 0. 1. 1. 1.],49.0
[ 5 18 11 44 36],[17 11 15  5  8],31,[1. 0. 1. 0. 0.],32.0
[ 6  8 24 36 21],[14 11 13  1  6],32,[1. 0. 1. 0. 0.],27.0
[18 30 44 47 24],[ 7 11 15  3  9],83,[1. 1. 0. 0. 1.],27.0
[ 3 27 29 38 21],[ 6  9 11  2 12],33,[1. 0. 0. 0. 1.],18.0
[ 9 30 19 16 41],[10  2 19 14 17],17,[0. 0. 0. 1. 0.],14.0
[18 26  8 29 28],[15 14  9 19  9],25,[1. 0. 0. 0. 0.],15.0
[37  6 19 22 14],[17 11 12 17 13],41,[0. 1. 1. 0. 1.],36.0
[18  2 43 45 29],[16 17  4  4 18],35,[0. 1. 0. 0. 1.],35.0
[40 34 11 20 17],[19  2  9  6 18],40,[0. 0. 1. 0. 1.],27.0
[ 5 49 17 49 22],[12 12  9  2 10],66,[1. 0. 1. 0. 1.],31.0
[24  4  2 48 29],[10 16 15 18  6],63,[0. 1. 1. 1. 0.],49.0
[11 23 18  4  3],[14  2 13 11  7],95,[1. 1. 1. 1. 1.],47.0
[45 10 41 31  1],[15  6  2 15  1],90,[1. 1. 0. 1. 1.],37.0
[42 33  9  7  5],[17  6  2 13  2],26,[0. 0. 1. 1. 1.],17.0
[45  5 39 39 49],[ 1 14  9 10  8],81,[0. 1. 0. 1. 0.],24.0
[10 39 37 32 28],[ 3  8  5 12  9],43,[1. 0. 0. 1. 0.],15.0
[41 31 37 15 12],[ 4  8 11 14  7],41,[0. 0. 0. 1. 1.],21.0
[22 42 48  1 25],[15 18 15 17 19],74,[0. 1. 0. 1. 1.],54.0
[42 48 23 14 16],[14  5 10  2  7],72,[1. 0. 1. 0. 0.],24.0
[24 30 27 45 40],[10  8 16  6 11],57,[1. 0. 1. 0. 0.],26.0
[18 16 26 10 18],[19  9  7  2  9],57,[1. 1. 0. 0. 1.],37.0
[14  5 40 35 14],[18  2  8 17 14],16,[1. 0. 0. 0. 0.],18.0
[19 36 45  8 29],[ 9  3 10 16  3],67,[1. 1. 0. 1. 0.],28.0
[23 39 21 46 47],[ 5  5 18  2 12],28,[0. 0. 1. 0. 0.],18.0
[ 6 26  4 14 40],[ 3 15  7 17  9],44,[0. 1. 1. 1. 0.],39.0
[10  5 37 43 30],[13 18 15  4  7],36,[1. 1. 0. 0. 0.],31.0
[23 36 44 35 24],[18  4  9  8  2],94,[1. 1. 0. 1. 0.],30.0
[47 17  6 24  7],[ 8  4  2 11  3],53,[0. 1. 0. 1. 1.],18.0
